country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Timor-Leste,,,,,,,,,,,,,,,,,,,,,,,,0.00175,,,,
Tunisia,,,,,,,,,,,,,,,,,,,,,,,0.0531,0.0462,,,,
Turkey,0.028,0.0284,0.0307,0.0313,0.031,0.0234,0.0239,0.0206,0.0216,0.0195,0.0114,0.0146,0.0239,0.0198,0.029,0.0276,0.0175,0.0165,0.0171,0.0241,0.0202,0.0148,0.0127,0.013,0.014,0.015,0.0155,0.0159
Uganda,,,,,,,,,,,,,,,,,,,,,,,0.00524,,,,,
Ukraine,,,,,,,,,,,,,,,,,,,,0.0179,0.0205,0.0161,0.0166,0.0157,0.0153,0.0189,0.0185,0.0217
United Arab Emirates,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0061
United Kingdom,,,0.0413,0.0471,0.0444,0.0378,0.0347,0.0275,0.0206,0.0186,0.0162,0.0137,0.0134,0.0122,0.0116,0.0119,0.0141,0.0138,0.0149,0.0223,0.0267,0.0262,0.0257,0.0243,0.0195,0.0147,0.0123,0.011
United States,0.00383,0.00591,0.00996,0.00891,0.00875,0.00662,0.00633,0.00526,0.00428,0.00355,0.00316,0.00394,0.00731,0.00914,0.00812,0.00668,0.00568,0.0056,0.00801,0.0202,0.0273,0.0239,0.0198,0.0168,0.0125,0.00946,0.008,0.00664
Uruguay,,,,,,,,,,,,,,,,,0.00523,0.00287,0.0017,0.00163,0.00132,0.000846,0.000839,0.000787,0.000842,0.00162,0.00146,0.00114
Vanuatu,,,,,,,,,,,,,,,,,,,,,0.0114,,,,,,,
Venezuela,,,,,,,,,,,,,,,,0.0123,0.0124,0.00739,0.00648,0.00654,0.0079,0.00761,0.00672,,,,,
Vietnam,,,,,,,,,,,,,,,,,,,,,,0.00266,0.00241,0.00189,0.0035,,,
Yemen,,,,,,,,,,,,,,,,,,,,,,,,,0.00972,,,
Zimbabwe,,,,,,,,,,,,,,,,,,,,,,,,,0.0136,,,
